score=51 penalty=0 mana=26 stamina=25 cooldown=0 com/tihyo/legends/utils/AttributeHelper.class
score=4 penalty=0 mana=0 stamina=2 cooldown=2 com/tihyo/legends/abilities/assignable/stamina/SonicPunchAbility.class
score=4 penalty=0 mana=0 stamina=2 cooldown=2 com/tihyo/legends/abilities/assignable/stamina/SweepKickAbility.class
score=4 penalty=0 mana=2 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/utility/InfraredVisionAbility.class
score=4 penalty=0 mana=2 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/utility/SuperHearingAbility.class
score=4 penalty=0 mana=3 stamina=1 cooldown=0 com/tihyo/legends/abilities/passives/FlightAbility.class
score=4 penalty=0 mana=4 stamina=0 cooldown=0 com/tihyo/legends/abilities/stats/ManaAbility.class
score=4 penalty=0 mana=0 stamina=4 cooldown=0 com/tihyo/legends/abilities/stats/StaminaAbility.class
score=4 penalty=0 mana=4 stamina=0 cooldown=0 com/tihyo/legends/api/LegendsPackManager.class
score=4 penalty=0 mana=2 stamina=2 cooldown=0 com/tihyo/legends/armors/suits/steve/Steve.class
score=4 penalty=0 mana=4 stamina=0 cooldown=0 com/tihyo/legends/compat/JEI/JEILegendsPlugin.class
score=4 penalty=0 mana=0 stamina=0 cooldown=4 com/tihyo/legends/entities/living/RiftWispEntity.class
score=4 penalty=0 mana=2 stamina=2 cooldown=0 com/tihyo/legends/entities/living/ShadowEidolonEffects.class
score=4 penalty=0 mana=4 stamina=0 cooldown=0 com/tihyo/legends/events/EventHandler.class
score=4 penalty=0 mana=2 stamina=2 cooldown=0 com/tihyo/legends/mastery/MasteryReward.class
score=4 penalty=0 mana=2 stamina=2 cooldown=0 com/tihyo/legends/mastery/Trait$VanguardTrait.class
score=4 penalty=0 mana=4 stamina=0 cooldown=0 com/tihyo/legends/network/LegendsNetworkManager.class
score=3 penalty=0 mana=2 stamina=0 cooldown=1 com/tihyo/legends/abilities/assignable/SoundClipAbility.class
score=3 penalty=0 mana=0 stamina=0 cooldown=3 com/tihyo/legends/abilities/assignable/utility/CloakedAbility.class
score=3 penalty=0 mana=2 stamina=0 cooldown=1 com/tihyo/legends/abilities/assignable/utility/MicroscopicVisionAbility.class
score=3 penalty=0 mana=2 stamina=0 cooldown=1 com/tihyo/legends/abilities/assignable/utility/XRayVisionAbility.class
score=3 penalty=0 mana=1 stamina=1 cooldown=1 com/tihyo/legends/abilities/passives/InitiatedAbility.class
score=3 penalty=0 mana=0 stamina=0 cooldown=3 com/tihyo/legends/abilities/passives/StealthAbility.class
score=3 penalty=0 mana=0 stamina=0 cooldown=3 com/tihyo/legends/blocks/turret/AbstractTurretBlockEntity.class
score=3 penalty=0 mana=1 stamina=1 cooldown=1 com/tihyo/legends/core/LEGENDS.class
score=3 penalty=0 mana=3 stamina=0 cooldown=0 com/tihyo/legends/data/LegendsDataManager.class
score=3 penalty=0 mana=0 stamina=2 cooldown=1 com/tihyo/legends/items/LegendsKatanaItem.class
score=3 penalty=0 mana=0 stamina=0 cooldown=3 com/tihyo/legends/items/ThrowingKnifeItem.class
score=3 penalty=0 mana=3 stamina=0 cooldown=0 com/tihyo/legends/utils/ModCompatibilityHelper.class
score=3 penalty=0 mana=3 stamina=0 cooldown=0 com/tihyo/legends/worldgen/events/LegendsEventManager.class
score=3 penalty=0 mana=0 stamina=0 cooldown=3 com/tihyo/legends/worldgen/events/ZombieHordeEvent$RuntimeState.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/LegendsCreativeModeTab.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/ultimate/IncinerateAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/utility/TelescopicVisionAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/utility/ToggleHelmetAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/clazz/BlockAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/clazz/DashAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/clazz/EndureAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/clazz/LungeAbility.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/abilities/clazz/RollAbility.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/armors/LegendsArmorItem.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/blocks/entity/MicroscopeBlockEntity.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/data/ability/IAbilityCapability.class
score=2 penalty=0 mana=1 stamina=0 cooldown=1 com/tihyo/legends/data/player/LegendsPlayerEvent.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/entities/living/AbstractAquaticPredatorEntity.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/entities/living/KillerWhaleEntity.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/entities/missions/MissionBoss$FlyingSwoopAttackGoal.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/entities/missions/MissionBoss$GroundEvadeGoal.class
score=2 penalty=0 mana=1 stamina=0 cooldown=1 com/tihyo/legends/entities/projectiles/BulletEntity.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/items/LegendsGoodieBagItem.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/items/ScrollItem.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/mastery/ObjectiveRegistry.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/mastery/Perk.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/mastery/Trait.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/mastery/Upgrade.class
score=2 penalty=0 mana=0 stamina=2 cooldown=0 com/tihyo/legends/mastery/perks/StealthMasteryPerk.class
score=2 penalty=0 mana=1 stamina=1 cooldown=0 com/tihyo/legends/network/server/ServerPacketClaimMasterySelection$1.class
score=2 penalty=0 mana=1 stamina=1 cooldown=0 com/tihyo/legends/network/server/ServerPacketClaimMasterySelection$Action.class
score=2 penalty=0 mana=2 stamina=0 cooldown=0 com/tihyo/legends/utils/ScrollHelper.class
score=2 penalty=0 mana=0 stamina=0 cooldown=2 com/tihyo/legends/worldgen/events/ZombieHordeEvent.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/abilities/azurelib/LegendsAzUtil.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/blocks/turret/MissionTurretBlockEntity.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/blocks/turret/TurretBlockEntity.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/ability/AbilityCapabilityProvider.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/attributes/PlayerAttributeProvider.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/equipment/LegendsEquipment.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/equipment/LegendsEquipmentProvider.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/living/LegendsLivingEntityEvent.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/living/LegendsLivingEntityProvider.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/living/trail/EntityTrailCapability.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/living/trail/EntityTrailProvider.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/player/LegendsPlayerProvider.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/player/PlayerAuthN.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/data/player/PlayerAuthNProvider.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/ai/AquaticCircleAttackGoal.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/ai/AquaticPredatorTargetGoal.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/ai/RiftWispCombatGoal.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/living/SharkEntity.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/missions/MissionBoss$BossRetargetGoal.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/missions/MissionBoss$FlyingStrafeTargetGoal.class
score=1 penalty=0 mana=0 stamina=1 cooldown=0 com/tihyo/legends/entities/projectiles/CrescentSlashDiabloThrown.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/entities/projectiles/CrescentSlashErebusThrown.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/entities/projectiles/ThrowingKnifeEntity.class
score=1 penalty=0 mana=0 stamina=0 cooldown=1 com/tihyo/legends/network/server/ServerPacketCraftSuit.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/sekclib/SekCLib.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/sekclib/capabilitysync/capability/SyncDataCapabilityHandler.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/utils/LegendsEventHelper.class
score=1 penalty=0 mana=1 stamina=0 cooldown=0 com/tihyo/legends/utils/server/commands/EventCommand.class
score=12 penalty=1 mana=6 stamina=6 cooldown=0 com/tihyo/legends/data/attributes/client/ClientAttributesData.class
score=9 penalty=1 mana=7 stamina=2 cooldown=0 com/tihyo/legends/client/LegendsClientProxy.class
score=8 penalty=1 mana=8 stamina=0 cooldown=0 com/tihyo/legends/client/shaders/LegendsShaderManager.class
score=8 penalty=1 mana=4 stamina=4 cooldown=0 com/tihyo/legends/network/client/ClientPacketSyncAttributes.class
score=7 penalty=1 mana=7 stamina=0 cooldown=0 com/tihyo/legends/client/sounds/ClientLightningLoopSounds.class
score=4 penalty=1 mana=4 stamina=0 cooldown=0 com/tihyo/legends/client/animation/LegendsAnimations.class
score=4 penalty=1 mana=4 stamina=0 cooldown=0 com/tihyo/legends/client/events/LegendsClientBusEvents.class
score=4 penalty=1 mana=4 stamina=0 cooldown=0 com/tihyo/legends/client/shaders/InfraredVisionShader.class
score=4 penalty=1 mana=4 stamina=0 cooldown=0 com/tihyo/legends/client/shaders/MicroscopicVisionShader.class
score=4 penalty=1 mana=4 stamina=0 cooldown=0 com/tihyo/legends/client/shaders/XRayVisionShader.class
score=3 penalty=1 mana=0 stamina=0 cooldown=3 com/tihyo/legends/data/attributes/client/ClientKatanaData.class
score=2 penalty=1 mana=0 stamina=0 cooldown=2 com/tihyo/legends/network/client/ClientPacketSyncKatanaState.class
score=1 penalty=1 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/animation/AnimationHelper.class
score=1 penalty=1 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/events/LegendsClientEventHandler.class
score=1 penalty=1 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/events/LegendsClientEvents.class
score=15 penalty=2 mana=6 stamina=6 cooldown=3 com/tihyo/legends/client/gui/AttributesOverlay.class
score=9 penalty=2 mana=4 stamina=4 cooldown=1 com/tihyo/legends/client/gui/bookoflegends/AbilityGuidePage.class
score=9 penalty=2 mana=9 stamina=0 cooldown=0 com/tihyo/legends/utils/client/LegendsRenderTypes.class
score=6 penalty=2 mana=3 stamina=3 cooldown=0 com/tihyo/legends/client/gui/EffectOverlay.class
score=4 penalty=2 mana=0 stamina=0 cooldown=4 com/tihyo/legends/client/gui/AbilitiesOverlay.class
score=3 penalty=2 mana=3 stamina=0 cooldown=0 com/tihyo/legends/client/gui/bookoflegends/BOLPageButton.class
score=2 penalty=2 mana=2 stamina=0 cooldown=0 com/tihyo/legends/client/gui/bookoflegends/BookOfLegends.class
score=2 penalty=2 mana=1 stamina=1 cooldown=0 com/tihyo/legends/client/gui/bookoflegends/MasteryGuidePage.class
score=2 penalty=2 mana=2 stamina=0 cooldown=0 com/tihyo/legends/client/renders/items/LegendsKatanaRenderer.class
score=1 penalty=2 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/gui/bookoflegends/MobGuidePage.class
score=1 penalty=2 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/renders/azurelib/LegendsAzEntityRenderer.class
score=14 penalty=3 mana=7 stamina=1 cooldown=6 com/tihyo/legends/client/gui/screen/nexus/NexusScreen.class
score=9 penalty=3 mana=6 stamina=3 cooldown=0 com/tihyo/legends/client/gui/screen/mastery/MasteryScreen.class
score=1 penalty=3 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/gui/bookoflegends/BOLScreen.class
score=1 penalty=3 mana=1 stamina=0 cooldown=0 com/tihyo/legends/client/gui/radial/RadialMenuScreen.class
